SKU,HTS,Customs Description
3000000711,4202924500,Travel Cases
2000000185,4819200040,Paper Boxes
2000000281,8309900000,Metal Closures
2000000381,3926909988,Plastic Goods
2000000760,4901990050,Printed Books
2000000869,4819200040,Paper Boxes
2000000870,4819200040,Paper Boxes
2000002004,4821101000,Paper Labels
2500000096,3304995000,Skin Care
2500000097,3304995000,Skin Care
2500000129,3304995000,Skin Care
2500000144,3304995000,Skin Care
2500000145,3304995000,Skin Care
2500000146,3304995000,Skin Care
2500000147,3304995000,Skin Care
2500000148,3304995000,Skin Care
2500000149,3304995000,Skin Care
2500000150,3304995000,Skin Care
2500000151,3304995000,Skin Care
2500000152,3304995000,Skin Care
2500000153,3304995000,Skin Care
2500000170,3304995000,Skin Care
2500000171,3304995000,Skin Care
2500000172,3304995000,Skin Care
2500000174,3304995000,Skin Care
2500000175,3304995000,Skin Care
2500000176,3304995000,Skin Care
2500000177,3304995000,Skin Care
2500000203,3304995000,Skin Care
2500000204,3304995000,Skin Care
2500000205,3304995000,Skin Care
2500000206,3304995000,Skin Care
2500000207,3304995000,Skin Care
2500000208,3304995000,Skin Care
2500000209,3304995000,Skin Care
2500000210,3304995000,Skin Care
2500000212,3304995000,Skin Care
2500000219,3304995000,Skin Care
2500000221,3304995000,Skin Care
2500000223,3304995000,Skin Care
2500000224,3304995000,Skin Care
2500000228,3304995000,Skin Care
2500000229,3304995000,Skin Care
2500000231,3304995000,Skin Care
2500000233,3304995000,Skin Care
2500000236,3304995000,Skin Care
2500000238,3304995000,Skin Care
2500000241,3304995000,Skin Care
2500000248,3304995000,Skin Care
2500000249,3304995000,Skin Care
2500000285,3304995000,Skin Care
2500000286,3304995000,Skin Care
2500000292,3304995000,Skin Care
2500000311,3304995000,Skin Care
2500000312,3304995000,Skin Care
2500000313,3304995000,Skin Care
2500000314,3304995000,Skin Care
2500000315,3304995000,Skin Care
2500000440,3304995000,Skin Care
2500000441,3304995000,Skin Care
2500000442,3304995000,Skin Care
2500000443,3304995000,Skin Care
2500000444,3304995000,Skin Care
2500000445,3304995000,Skin Care
2500000446,3304995000,Skin Care
2500000447,3304995000,Skin Care
2500000448,3304995000,Skin Care
2500000449,3304995000,Skin Care
2500000450,3304995000,Skin Care
2500000451,3304995000,Skin Care
2500000452,3304995000,Skin Care
2500000453,3304995000,Skin Care
2500000456,3304995000,Skin Care
2500000457,3304995000,Skin Care
2500000458,3304995000,Skin Care
2500000459,3304995000,Skin Care
2500000460,3304995000,Skin Care
2500000461,3304995000,Skin Care
2500000462,3304995000,Skin Care
2500000490,3304995000,Skin Care
3000000006,9603298010,Beauty Brushes
3000000015,4202924500,Travel Cases
3000000016,4202920000,Travel Cases
3000000018,9603298010,Beauty Brushes
3000000027,4202923131,Travel Cases
3000000038,9615196000,Hair Accessories
3000000040,9615900000,Hair Accessories
3000000062,6303931000,Curtains Drapes
3000000070,6302217010,Bed Linen
3000000073,3926909790,Plastic Goods
3000000075,6302221010,Bed Linen
3000000087,3923900000,Plastic Packaging
3000000094,4202120000,Travel Cases
3000000127,7615109100,Aluminum Utensils
3000000129,9603290000,Beauty Brushes
3000000142,9019102000,Massage Units
3000000143,9019102020,Massage Units
3000000148,3926900000,Plastic Goods
3000000177,4202190000,Travel Cases
3000000193,8516320020,Hair Tools
3000000218,4202924500,Travel Cases
3000000225,9615194000,Hair Accessories
3000000229,6214300000,Shawls Scarves
3000000243,3926900000,Plastic Goods
3000000250,9603290000,Beauty Brushes
3000000290,9615900000,Hair Accessories
3000000311,9615190000,Hair Accessories
3000000315,8516320000,Hair Tools
3000000316,8516320000,Hair Tools
3000000325,8516320000,Hair Tools
3000000328,8516320000,Hair Tools
3000000331,8516310000,Hair Tools
3000000334,8418910048,Fridge Parts
3000000338,8516320020,Hair Tools
3000000343,9603290000,Beauty Brushes
3000000351,3924905650,Plastic Houseware
3000000352,9615111000,Hair Accessories
3000000353,9506910030,Fitness Goods
3000000354,9019102000,Massage Units
3000000359,9603900000,Beauty Brushes
3000000322,4202923131,Travel Cases
3000000823,4202920000,Travel Cases
3000000361,7009920000,Glass Mirrors
3000000392,4202921500,Travel Cases
3000000396,4202921500,Travel Cases
3000000444,3924102000,Plastic Houseware
3000000446,6506910000,Hats Headgear
3000000447,8509809090,Electric Tools
3000000448,8509400020,Electric Tools
3000000464,8516320040,Hair Tools
3000000465,8616320040,Hair Tools
3000000466,8516320040,Hair Tools
3000000496,3926902100,Plastic Goods
3000000513,3924100094,Plastic Houseware
3000000515,7009921090,Glass Mirrors
3000000516,9019102050,Massage Units
3000000517,6505009030,Hats Headgear
3000000518,9603909000,Beauty Brushes
3000000519,8509400020,Electric Tools
3000000520,9615190020,Hair Accessories
3000000521,9615904000,Hair Accessories
3000000522,9615906000,Hair Accessories
3000000523,9615906000,Hair Accessories
3000000524,9019100020,Massage Units
3000000528,6307909891,Textile Goods
3000000542,4202924500,Travel Cases
3000000544,6307908995,Textile Goods
3000000551,4819200040,Paper Boxes
3000000554,6802990000,Stone Articles
3000000555,4202923131,Travel Cases
3000000556,9615906000,Hair Accessories
3000000557,6307908995,Textile Goods
3000000578,4202929700,Travel Cases
3000000632,8516321000,Hair Tools
3000000633,8516321000,Hair Tools
3000000634,8424890000,Spraying Appliances
3000000635,8516321000,Hair Tools
3000000648,8424890000,Spraying Appliances
3000000649,8516329000,Hair Tools
3000000662,7009920000,Glass Mirrors
3000000663,9019100020,Massage Units
3000000665,4202110000,Travel Cases
3000000666,6302930000,Bed Linen
3000000667,9603300000,Beauty Brushes
3000000683,9603290000,Beauty Brushes
3000000688,4202110000,Travel Cases
3000000715,4202921000,Travel Cases
3000000742,8214200000,Manicure Sets
3000000743,8214200000,Manicure Sets
3000000822,9616200000,Scent Sprays
3000000833,9603306000,Beauty Brushes
3000000834,4821100000,Paper Labels
3000000855,9603293000,Beauty Brushes
3000000872,9603294010,Beauty Brushes
3000000900,9603293000,Beauty Brushes
4000000031,4901100000,Printed Books
4000000063,4820300000,Paper Notebooks
4000000095,4820100000,Paper Notebooks
4000000139,490290,Printed Journals
4000000164,4902900000,Printed Journals
4000000175,4901100000,Printed Books
4000000553,4909000000,Printed Cards
4000000574,4909000000,Printed Cards
4000000825,4820100000,Paper Notebooks
4000000836,4820100000,Paper Notebooks
4000000839,4820100000,Paper Notebooks
4000000858,4820100000,Paper Notebooks
4000000862,4820100000,Paper Notebooks
5000000036,4819200040,Paper Boxes
5000000109,4819200040,Paper Boxes
5000000111,4819200040,Paper Boxes
5000000116,4819200040,Paper Boxes
5000000117,4819200040,Paper Boxes
5000000119,4819200040,Paper Boxes
5000000129,7326190000,Iron Articles
5000000140,4821904000,Paper Labels
5000000151,4819200040,Paper Boxes
5000000154,4819200040,Paper Boxes
5000000155,4821902000,Paper Labels
5000000175,4811909000,Paper Sheets
5000000194,3926900000,Plastic Goods
5000000195,4821902000,Paper Labels
5000000202,6307909889,Textile Goods
5000000215,4819200040,Paper Boxes
5000000256,4819200040,Paper Boxes
5000000257,3923290000,Plastic Packaging
5000000258,3005105000,Medical Bandages
5000000259,3401115000,Soap Products
5000000452,4821902000,Paper Labels
5000000660,4811900011,Paper Sheets
5000000682,4811909000,Paper Sheets
5000000683,4811909000,Paper Sheets
5000000684,4811909000,Paper Sheets
5000000685,4811909000,Paper Sheets
5000000686,4811909000,Paper Sheets
5000000757,6505008600,Hats Headgear
5000000803,6307909200,Textile Goods
5000000845,8471300000,Computing Machines
5000001025,3923900000,Plastic Packaging
5000001129,6110209100,Knitted Apparel
5000001223,9403700000,Furniture Items
5000001230,6302910000,Bed Linen
5000001243,4820100000,Paper Notebooks
5000001244,4820100000,Paper Notebooks
6000000000,3305900000,Hair Care
6000000001,3305900000,Hair Care
6000000002,3305900000,Hair Care
6000000003,3305900000,Hair Care
6000000004,3305900000,Hair Care
6000000005,3305100000,Hair Care
6000000006,3305900000,Hair Care
6000000007,3305100000,Hair Care
6000000008,3305100000,Hair Care
6000000009,3305900000,Hair Care
6000000010,3305900000,Hair Care
6000000011,3305100000,Hair Care
6000000012,3305900000,Hair Care
6000000013,3305900000,Hair Care
6000000015,3305100000,Hair Care
6000000016,3305300000,Hair Care
6000000017,3305300000,Hair Care
6000000018,3305100000,Hair Care
6000000019,3305900000,Hair Care
6000000020,3305900000,Hair Care
6000000021,3305900000,Hair Care
6000000023,3305100000,Hair Care
6000000024,3305900000,Hair Care
6000000025,3401301000,Soap Products
6000000026,3304995000,Skin Care
6000000029,3305900000,Hair Care
